num,channel,filename,SMO,triangle,li,isodata,otsu,yen,stardist,cellpose,SMO_mask_size,segmentation_size
37983,ERSyto,cellpaintingfollowup-reimage_a01_s1_w26ae36209-938b-45ef-b166-3aba3af125df,885,896,933,945,945,939,920,899,0.017634387860082305,0.5138245884773662
37983,ERSyto,cellpaintingfollowup-reimage_a01_s2_w24d5247f7-4804-4f73-82f3-bb6c03a3e2af,878,1120,1149,1248,1248,1353,998,925,0.008996699245541839,0.3128054269547325
37983,ERSyto,cellpaintingfollowup-reimage_a01_s3_w2af6f001c-d3bf-4c5d-ada6-a6c2e5e908a3,1583,1708,1751,1847,1848,2034,1575,1479,0.0012806498628257887,0.010389874828532236
37983,ERSyto,cellpaintingfollowup-reimage_a01_s4_w26d317c14-d734-4ee4-ad2e-df1f4513d6db,873,884,895,900,900,899,889,877,0.024316272290809328,0.6792749056927297
37983,ERSyto,cellpaintingfollowup-reimage_a01_s5_w29377f11d-9a3c-47af-9129-bf32eac77565,894,1035,1073,1148,1148,1101,997,911,0.008878815157750342,0.3460648148148148
37983,ERSyto,cellpaintingfollowup-reimage_a01_s6_w2b60ecefb-a3ab-4f17-bcf8-62ea018e62b1,1811,1951,1986,2202,2202,2284,1811,1754,0.0016021519204389575,0.01955804183813443
37983,ERSyto,cellpaintingfollowup-reimage_a01_s7_w2288a661e-3a57-4f55-a8c3-9e1549f86119,869,871,875,877,877,875,874,872,0.038660622427983536,0.8705418381344308
37983,ERSyto,cellpaintingfollowup-reimage_a01_s8_w2b4e2837e-7339-4a12-816a-0e3882576e94,1557,1781,1822,1916,1917,2204,1597,1439,0.0012217078189300412,0.03368269890260631
37983,ERSyto,cellpaintingfollowup-reimage_a01_s9_w25d096667-049a-47a4-834b-c92cfef92419,1750,2040,2063,2242,2242,2357,1794,1747,0.0008412637174211249,0.00027863511659807956
37983,ERSyto,cellpaintingfollowup-reimage_a02_s1_w298c31423-9dc0-427a-8bf4-f9c3a8beb287,950,1344,1388,1456,1456,1601,1229,970,0.00788215877914952,0.20299104080932784
37983,ERSyto,cellpaintingfollowup-reimage_a02_s2_w244a8016b-59f4-4843-9a29-7589fad0a696,930,934,937,938,938,936,935,932,0.035633144718792864,0.8272998113854595
37983,ERSyto,cellpaintingfollowup-reimage_a02_s3_w205de7565-ca25-488b-a860-c0fdb0500c8b,948,955,967,972,972,969,962,952,0.02546296296296296,0.5797003600823045
37983,ERSyto,cellpaintingfollowup-reimage_a02_s4_w2b2b47d4c-2c11-4a75-a6be-4f8623881317,931,937,955,962,962,958,949,936,0.023308899176954733,0.5637592163923183
37983,ERSyto,cellpaintingfollowup-reimage_a02_s5_w255ccd3cf-388c-4762-9f61-dd3e6c1837da,945,1071,1177,1260,1260,1372,1058,966,0.007576731824417009,0.2425357938957476
37983,ERSyto,cellpaintingfollowup-reimage_a02_s6_w2a7b5591c-b07c-461c-9c2b-f57f786e81fb,960,982,1045,1086,1086,1067,1004,968,0.012720764746227709,0.2980484825102881
37983,ERSyto,cellpaintingfollowup-reimage_a02_s7_w2be9e70e6-4899-4614-ab2f-80d516f3371e,949,1251,1275,1344,1344,1313,1070,973,0.005829903978052126,0.1975951646090535
37983,ERSyto,cellpaintingfollowup-reimage_a02_s8_w21cbf6085-2300-40e5-88e0-f4352a2841e0,926,942,982,1000,1000,994,961,934,0.0182934670781893,0.4257383830589849
37983,ERSyto,cellpaintingfollowup-reimage_a02_s9_w2796ab04a-aac3-41fe-bf55-165b3f7ab442,998,1703,1721,1924,1925,1993,1565,1417,0.0023791152263374486,0.04550325788751715
37983,ERSyto,cellpaintingfollowup-reimage_a03_s1_w203806bbf-fe1d-4e9f-9767-615eca92e492,880,886,889,891,891,889,886,883,0.03323795438957476,0.8274337705761317
